board_name,card_question,card_answer
English Words 10,academy [əˈkædəmi],"###An academy is a special type of school.

---

_There are many courses taught at the academy that I go to._"
English Words 10,ancient [ˈeɪnʃənt],"###If something is ancient, it is very old.

---

_I want to see the ancient buildings in Rome._"
English Words 10,board [bɔːrd],"###A board is a flat piece of wood.

---

_The sign was made of a few wooden boards._"
English Words 10,century [ˈsentʃəri],"###A century is one hundred years.

---

_Our company is celebrating a century of business in London._"
English Words 10,clue [kluː],"###A clue is a fact or object that helps solve a mystery or crime.

---

_The detective found some clues on the sidewalk._"
English Words 10,concert [ˈkɑːnsərt],"###A concert is an event where you listen to people play music.

---

_I enjoyed the concert last night. The band was very good._"
English Words 10,county [ˈkaʊnti],"###A county is the largest division of a state in a country.

---

_He wanted to represent the citizens of his county._"
English Words 10,dictionary [ˈdɪkʃəneri],"###A dictionary is a book that tells you what words mean.

---

_I use the dictionary to learn new words._"
English Words 10,exist [ɪɡˈzɪst],"###To exist is to be real.

---

_Do you really think that unicorns ever existed?_"
English Words 10,flat [flæt],"###Flat describes something that is level and smooth with no curved parts.

---

_My parents bought a new flat-screen TV on the weekend._"
English Words 10,gentleman [ˈdʒentlmən],"###A gentleman is a nice man.

---

_My grandfather is a kind and helpful gentleman._"
English Words 10,hidden [ˈhɪdn],"###Hidden means not easily noticed or too hard to find.

---

_The hidden camera recorded everything in the parking lot._"
English Words 10,maybe [ˈmeɪbi],"###Maybe is used to show that something is possible or may be true.

---

_If I focus hard enough, maybe I can come up with the right answer._"
English Words 10,officer [ˈɑːfɪsər],"###An officer is a leader in the army.

---

_The soldiers followed the orders of the officer._"
English Words 10,original [əˈrɪdʒənl],"###If something is original, it is the first one of that thing.

---

_This is the original painting of the Mona Lisa._"
English Words 10,pound [paʊnd],"###To pound something is to hit it many times with a lot of force.

---

_He pounded the nail with the hammer._"
English Words 10,process [prɑ́ses],"###A process is the steps to take to do something.

---

_Making a cake is a long process._"
English Words 10,publish [ˈpʌblɪʃ],"###To publish a book is to get it printed and ready to sell.

---

_That company publishes daily newspapers._"
English Words 10,theater [θíːətər],"###A theater is a building where you watch plays, shows, and movies.

---

_We went to the theater to see a play._"
English Words 10,wealth [welθ],"###Wealth is the total of one’s possessions (money, land, etc.).

---

_One of the most important things for some people is wealth._"
English Words 10,aim [eɪm],"###An aim is a goal someone wants to make happen.

---

_My aim is to become a helicopter pilot._"
